Query,shape_name,Qty,Qty.UOM,material_type,d_grade,d_gauge,d_depth,d_size,d_height,d_width,d_length,d_thickness,d_sidea,d_sideb,d_wallthickness,d_outerdiameter,d_innerdiameter,d_nominalsize,d_schedule,weight_per_length,web_thickness,production_process,standard_designation,structural_size_designation,surface_condition,surface_finish,heat_treated_condition,cold_finishing_process,weight_per_piece,coating_type,edge_type,quality_designation
"(4) 60"" x 144"", 11ga 304 stainless steel, domestic",Sheet,4,piece,Stainless Steel,304,11,,,,60,144,,,,,,,,,,,,,,,,,,,,,
"Qty (1) ¼"" x 96"" x 120"" 304SS plate",Plate,1,piece,Stainless Steel,304,,,,,96,120,.25,,,,,,,,,,,,,,,,,,,,
"Qty (1) ¼"" x 48"" x 96"" 304SS plate",Plate,1,piece,Stainless Steel,304,,,,,48,96,.25,,,,,,,,,,,,,,,,,,,,
"Qty (2) ½"" x 8"" x 144"" long 304SS flat",Flat Bar,2,piece,Stainless Steel,304,,,,,8,144,.5,,,,,,,,,,,,,,,,,,,,
"Qty (2) C6 - 13 x 240"" long 304SS channel Regards",C-Channel,2,piece,Stainless Steel,304,,6,,,,240,,,,,,,,,13,,,,C6-13,,,,,,,,
HRANG-.187-1.500X1.500-240.000L qty = 19 ,L-Angle,19,piece,Carbon Steel,,,,,,,240,.187,1.5,1.5,,,,,,,,,,,,,,,,,,
HRTB-.125-2.000X3.000-240.000L (REC)   qty = 9,Rectangular Tube,9,piece,Carbon Steel,,,,,3.0,2.0,240,,,,.125,,,,,,,,,,,,,,,,,
"1 @ 72""x96""x1/4"" 304 plate",Plate,1,piece,Stainless Steel,304,,,,,72.0,96.0,0.25,,,,,,,,,,,,,,,,,,,,
"1 @ 48""x96""x1/4"" 304 plate",Plate,1,piece,Stainless Steel,304,,,,,48.0,96.0,0.25,,,,,,,,,,,,,,,,,,,,
"3 @ 48""x96""x1/4"" 304 plate",Plate,3,piece,Stainless Steel,304,,,,,48.0,96.0,0.25,,,,,,,,,,,,,,,,,,,,
1pc 1 ¾ HR 1045 Round x 20’ R/L,Round Bar,1,piece,Carbon Steel,1045,,,1.75,,,240,,,,,,,,,,,Hot-Rolled,,,,,,,,,,
All Aluminum Grade - 6061-T6511 12’2.0 SQ = 2 PCS,Square Bar,2,piece,Aluminum,6061,,,2.0,,,144.0,,,,,,,,,,,,,,,,T6511,,,,,
All Aluminum Grade - 6061-T6511 12’1.5 X 2 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,6061,,,,,2.0,144.0,1.5,,,,,,,,,,,,,,,T6511,,,,,
All Aluminum Grade - 6061-T6511 12’.75 X 3 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,6061,,,,,3.0,144.0,0.75,,,,,,,,,,,,,,,T6511,,,,,
All Aluminum Grade - 6061-T6511 12’.50 X 6 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,6061,,,,,6.0,144.0,0.5,,,,,,,,,,,,,,,T6511,,,,,
All Aluminum Grade - 6061-T6511 12’.50 X 4 FLAT = 1 PC,Flat Bar,1,piece,Aluminum,6061,,,,,4.0,144.0,0.5,,,,,,,,,,,,,,,T6511,,,,,
All Aluminum Grade - 6061-T6511 12’.50 X 3 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,6061,,,,,3.0,144.0,0.5,,,,,,,,,,,,,,,T6511,,,,,
All Aluminum Grade - 6061-T6511 12’.50 X 2 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,6061,,,,,2.0,144.0,0.5,,,,,,,,,,,,,,,T6511,,,,,
2” X 1” X .125 6063 Aluminum angle (square corners) X 16’ Qty_200,L-Angle,200,piece,Aluminum,6063,,,,,,192,.125,2,1,,,,,,,,,,,,,,,,,,
1 DOMTU2X1/4 160007087 Carbon Round Tube 1026 DOM 2 1060 FT FT,Round Tube,1060,feet,Carbon Steel,1026,,,,,,?,,,,.25,2.0,,,,,,Drawn Over Mandrel,,,,,,,,,,
"ES-MA-202-2/4 Rev: D Rnd, 4130, Rc-18-22, 6A, 75K, Temp K, 20.2000” Need 2 pcs cut at 10.75” Long Each",Round Bar,2,piece,Alloy Steel,4130,,,20.2,,,10.75,,,,,,,,,,,,,,,,,,,,,
15 @ 20 Ga. #4 stainless 48” x 120”,Sheet,15,piece,Stainless Steel,,20,,,,48,120,,,,,,,,,,,,,,,No 4,,,,,,
"HG011725 5052H32SH.090\""X60\""X120\""(WITH LASERVINYL FILM) - 62.85 LB 2pcs",Sheet,2,piece,Aluminum,5052,,,,,60,120,.090,,,,,,,,,,,,,,,H33,,62.85,LASER VINYL,,
"HG008568 5052H32SH.190\""X60\""X120\""(PPRINTERLEAVED) - 132.7 LB 4pcs",Sheet,4,piece,Aluminum,5052,,,,,60,120,.190,,,,,,,,,,,,,,,H34,,132.7,PAPER INTERLEAVED,,
"HG008645 6061T6SH.125\""X60\""X120\""(PPRINTERLEAVED) - 88.2 LB 4pcs",Sheet,4,piece,Aluminum,6061,,,,,60,120,.125,,,,,,,,,,,,,,,T6,,88.2,PAPER INTERLEAVED,,
210PCS 1215 CF ROUND 7/16” X 12’,Round Bar,210,piece,Carbon Steel,1215,,,.4375,,,144,,,,,,,,,,,,,,,,,Cold Finished,,,,
"(70) 7/8"" (0.875) RD C12L14 12'",Round Bar,70,piece,Carbon Steel,C12L14,,,.875,,,144,,,,,,,,,,,,,,,,,,,,,
10 sheets of 12ga x 48 x 96 HRPO STEEL SHEET,Sheet,10,piece,Carbon Steel,,12,,,,48,96,,,,,,,,,,,Hot-Rolled,,,Pickled Oiled,,,,,,,
