Query,shape_name,Qty,Qty.UOM,material_type,d_grade,d_gauge,d_depth,d_size,d_height,d_width,d_length,d_thickness,d_sidea,d_sideb,d_wallthickness,d_outerdiameter,d_innerdiameter,d_nominalsize,d_schedule,weight_per_length,web_thickness,production_process,standard_designation,structural_size_designation,surface_condition,surface_finish,heat_treated_condition,cold_finishing_process,weight_per_piece,coating_type,edge_type,quality_designation
"QTY 1 14ga 304 #4 brushed SS, in 60x120 sheets",Sheet,1,piece,Stainless Steel,304,14,,,,60.0,120.0,,,,,,,,,,,,,,,No 4,,,,,,
"AL RECT 6061-T651 per ASTM B209, 1.000 X 2.000 x 144.000, qty: 50",Flat Bar,50,piece,Aluminum,6061,,,,,2.0,144.0,1.0,,,,,,,,,,,B209/B209M-21A,,,,T651,,,,,
"1 ea SHT 14 GA 48 X 120, 316L SS",Sheet,1,piece,Stainless Steel,316L,14,,,,48.0,120.0,,,,,,,,,,,,,,,,,,,,,
"3 ea SHT 11 GA 48 X 120, 316L SS",Sheet,3,piece,Stainless Steel,316L,11,,,,48.0,120.0,,,,,,,,,,,,,,,,,,,,,
HRANG-.187-1.500X1.500-240.000L qty = 19 ,L-Angle,19,piece,Carbon Steel,,,,,,,240,.187,1.5,1.5,,,,,,,,Hot-Rolled,,,,,,,,,,
HRTB-.125-2.000X3.000-240.000L (REC)   qty = 9,Rectangular Tube,9,piece,Carbon Steel,,,,,3.0,2.0,240,,,,.125,,,,,,,Hot-Rolled,,,,,,,,,,
"1 @ 72""x96""x1/4"" 304 plate",Plate,1,piece,Stainless Steel,304,,,,,72.0,96.0,0.25,,,,,,,,,,,,,,,,,,,,
"1 @ 48""x96""x1/4"" 304 plate",Plate,1,piece,Stainless Steel,304,,,,,48.0,96.0,0.25,,,,,,,,,,,,,,,,,,,,
"3 @ 48""x96""x1/4"" 304 plate",Plate,3,piece,Stainless Steel,304,,,,,48.0,96.0,0.25,,,,,,,,,,,,,,,,,,,,
1pc 1 ¾ HR 1045 Round x 20’ R/L,Round Bar,1,piece,Carbon Steel,1045,,,1.75,,,240,,,,,,,,,,,Hot-Rolled,,,,,,,,,,
All Aluminum Grade - 6061-T6511 12’2.0 SQ = 2 PCS,Square Bar,2,piece,Aluminum,6061,,,2.0,,,144.0,,,,,,,,,,,,,,,,T6511,,,,,
All Aluminum Grade - 6061-T6511 12’1.5 X 2 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,6061,,,,,2.0,144.0,1.5,,,,,,,,,,,,,,,T6511,,,,,
All Aluminum Grade - 6061-T6511 12’.50 X 6 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,6061,,,,,6.0,144.0,0.5,,,,,,,,,,,,,,,T6511,,,,,
All Aluminum Grade - 6061-T6511 12’.50 X 4 FLAT = 1 PC,Flat Bar,1,piece,Aluminum,6061,,,,,4.0,144.0,0.5,,,,,,,,,,,,,,,T6511,,,,,
All Aluminum Grade - 6061-T6511 12’.50 X 3 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,6061,,,,,3.0,144.0,0.5,,,,,,,,,,,,,,,T6511,,,,,
All Aluminum Grade - 6061-T6511 12’.50 X 2 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,6061,,,,,2.0,144.0,0.5,,,,,,,,,,,,,,,T6511,,,,,
"ES-MA-202-2/4 Rev: D Rnd, 4130, Rc-18-22, 6A, 75K, Temp K, 20.2000” Need 2 pcs cut at 10.75” Long Each",Round Bar,2,piece,Alloy Steel,4130,,,20.2,,,10.75,,,,,,,,,,,,,,,,,,,,,
15 @ 20 Ga. #4 stainless 48” x 120”,Sheet,15,piece,Stainless Steel,,20,,,,48,120,,,,,,,,,,,,,,,No 4,,,,,,
"HG0011546 5052H32SH.090\""X48\""X120\""(WITH LASERVINYL FILM) - 50.28 LB 7pcs",Sheet,7,piece,Aluminum,5052,,,,,48,120,.090,,,,,,,,,,,,,,,H32,,50.28,LASER VINYL,,
"HG011725 5052H32SH.090\""X60\""X120\""(WITH LASERVINYL FILM) - 62.85 LB 2pcs",Sheet,2,piece,Aluminum,5052,,,,,60,120,.090,,,,,,,,,,,,,,,H32,,62.85,LASER VINYL,,
