ID,Query,shape_name,Qty,Qty.UOM,material_type,d_grade,d_gauge,d_depth,d_size,d_height,d_width,d_length,d_thickness,d_sidea,d_sideb,d_wallthickness,d_outerdiameter,d_innerdiameter,d_nominalsize,d_schedule,weight_per_length,web_thickness,production_process,standard_designation,structural_size_designation,surface_condition,surface_finish,heat_treated_condition,cold_finishing_process,weight_per_piece,coating_type,edge_type,quality_designation
1,"QTY 1 14ga 304 #4 brushed SS, in 60x120 sheets",Sheet,1,piece,Stainless Steel,304,14,,,,60.0,120.0,,,,,,,,,,,,,,,No 4,,,,,,
2,"AL RECT 6061-T651 per ASTM B209, 1.000 X 2.000 x 144.000, qty: 50",Flat Bar,50,piece,Aluminum,6061,,,,,2.0,144.0,1.0,,,,,,,,,,,,,,,T651,,,,,
3,"1 ea SHT 14 GA 48 X 120, 316L SS",Sheet,1,piece,Stainless Steel,316L,14,,,,48.0,120.0,,,,,,,,,,,,,,,,,,,,,
4,"3 ea SHT 11 GA 48 X 120, 316L SS",Sheet,3,piece,Stainless Steel,316L,11,,,,48.0,120.0,,,,,,,,,,,,,,,,,,,,,
5,"(4) 60"" x 144"", 11ga 304 stainless steel, domestic",Sheet,4,piece,Stainless Steel,304,11,,,,60,144,,,,,,,,,,,,,,,,,,,,,
6,"Qty (1) ¼"" x 96"" x 120"" 304SS plate",Plate,1,piece,Stainless Steel,304,,,,,96,120,.25,,,,,,,,,,,,,,,,,,,,
7,"Qty (1) ¼"" x 48"" x 96"" 304SS plate",Plate,1,piece,Stainless Steel,304,,,,,48,96,.25,,,,,,,,,,,,,,,,,,,,
8,"Qty (2) ½"" x 8"" x 144"" long 304SS flat",Flat Bar,2,piece,Stainless Steel,304,,,,,8,144,.5,,,,,,,,,,,,,,,,,,,,
9,"Qty (2) C6 - 13 x 240"" long 304SS channel Regards",C-Channel,2,piece,Stainless Steel,304,,6,,,,240,,,,,,,,,13,,,,C6-13,,,,,,,,
10,HRANG-.187-1.500X1.500-240.000L qty = 19 ,L-Angle,19,piece,Carbon Steel,,,,,,,240,.187,1.5,1.5,,,,,,,,,,,,,,,,,,
11,HRTB-.125-2.000X3.000-240.000L (REC)   qty = 9,Rectangular Tube,9,piece,Carbon Steel,,,,,3.0,2.0,240,,,,.125,,,,,,,,,,,,,,,,,
12,"1 @ 72""x96""x1/4"" 304 plate",Plate,1,piece,Stainless Steel,304,,,,,72.0,96.0,0.25,,,,,,,,,,,,,,,,,,,,
13,"1 @ 48""x96""x1/4"" 304 plate",Plate,1,piece,Stainless Steel,304,,,,,48.0,96.0,0.25,,,,,,,,,,,,,,,,,,,,
14,"3 @ 48""x96""x1/4"" 304 plate",Plate,3,piece,Stainless Steel,304,,,,,48.0,96.0,0.25,,,,,,,,,,,,,,,,,,,,
15,1pc 1 ¾ HR 1045 Round x 20’ R/L,Round Bar,1,piece,Carbon Steel,1045,,,1.75,,,240,,,,,,,,,,,Hot-Rolled,,,,,,,,,,
